            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451605.500000000, A.D. 2000-Mar-02 00:00:00.0000,  1.744190608461815E+08,  1.272048640037079E+08, -1.622809767419122E+06, -1.335144693472071E+01,  2.164290475413576E+01,  7.815786089925751E-01,
2451606.500000000, A.D. 2000-Mar-03 00:00:00.0000,  1.732569351326204E+08,  1.290685233779778E+08, -1.555202677458800E+06, -1.354931297209352E+01,  2.149706238472120E+01,  7.833867919228963E-01,
2451607.500000000, A.D. 2000-Mar-04 00:00:00.0000,  1.720777913157023E+08,  1.309195055550496E+08, -1.487442867733911E+06, -1.374538217324626E+01,  2.134945531234917E+01,  7.851138354864737E-01,
2451608.500000000, A.D. 2000-Mar-05 00:00:00.0000,  1.708817852509540E+08,  1.327576591599904E+08, -1.419537340288363E+06, -1.393964048778654E+01,  2.120010886607074E+01,  7.867599224111741E-01,
2451609.500000000, A.D. 2000-Mar-06 00:00:00.0000,  1.696690739897846E+08,  1.345828350070468E+08, -1.351493080732852E+06, -1.413207427928073E+01,  2.104904843163849E+01,  7.883252502862268E-01,
2451610.500000000, A.D. 2000-Mar-07 00:00:00.0000,  1.684398157442731E+08,  1.363948861036068E+08, -1.283317057216585E+06, -1.432267032297553E+01,  2.089629942669727E+01,  7.898100304844062E-01,
2451611.500000000, A.D. 2000-Mar-08 00:00:00.0000,  1.671941698522658E+08,  1.381936676536526E+08, -1.215016219467901E+06, -1.451141580418522E+01,  2.074188728354230E+01,  7.912144880387491E-01,
2451612.500000000, A.D. 2000-Mar-09 00:00:00.0000,  1.659322967428524E+08,  1.399790370605244E+08, -1.146597497945227E+06, -1.469829830595040E+01,  2.058583744853980E+01,  7.925388569787826E-01,
2451613.500000000, A.D. 2000-Mar-10 00:00:00.0000,  1.646543579020765E+08,  1.417508539289559E+08, -1.078067803020805E+06, -1.488330579150694E+01,  2.042817539462830E+01,  7.937833734476731E-01,
2451614.500000000, A.D. 2000-Mar-11 00:00:00.0000,  1.633605158387316E+08,  1.435089800665826E+08, -1.009434024105541E+06, -1.506642660192887E+01,  2.026892662666154E+01,  7.949482759629163E-01,
2451615.500000000, A.D. 2000-Mar-12 00:00:00.0000,  1.620509340503061E+08,  1.452532794850788E+08, -9.407030287344232E+05, -1.524764946974789E+01,  2.010811666918348E+01,  7.960338130855149E-01,
2451616.500000000, A.D. 2000-Mar-13 00:00:00.0000,  1.607257769892584E+08,  1.469836184008180E+08, -8.718816617078036E+05, -1.542696353129474E+01,  1.994577105137508E+01,  7.970402506319996E-01,
2451617.500000000, A.D. 2000-Mar-14 00:00:00.0000,  1.593852100296486E+08,  1.486998652348391E+08, -8.029767443087474E+05, -1.560435832601496E+01,  1.978191529855771E+01,  7.979678727327997E-01,
2451618.500000000, A.D. 2000-Mar-15 00:00:00.0000,  1.580293994339740E+08,  1.504018906120869E+08, -7.339950735169575E+05, -1.577982378295524E+01,  1.961657492056160E+01,  7.988169761715840E-01,
2451619.500000000, A.D. 2000-Mar-16 00:00:00.0000,  1.566585123201616E+08,  1.520895673601243E+08, -6.649434211763740E+05, -1.595335020207805E+01,  1.944977539489209E+01,  7.995878618250032E-01,
2451620.500000000, A.D. 2000-Mar-17 00:00:00.0000,  1.552727166288804E+08,  1.537627705075016E+08, -5.958285331887603E+05, -1.612492824225004E+01,  1.928154216233365E+01,  8.002808301392195E-01,
2451621.500000000, A.D. 2000-Mar-18 00:00:00.0000,  1.538721810913148E+08,  1.554213772817355E+08, -5.266571288067028E+05, -1.629454892444530E+01,  1.911190064137285E+01,  8.008961852301013E-01,
2451622.500000000, A.D. 2000-Mar-19 00:00:00.0000,  1.524570751972946E+08,  1.570652671067094E+08, -4.574358999807760E+05, -1.646220364109535E+01,  1.894087623885889E+01,  8.014342418974509E-01,
2451623.500000000, A.D. 2000-Mar-20 00:00:00.0000,  1.510275691635821E+08,  1.586943215994613E+08, -3.881715106557906E+05, -1.662788415688245E+01,  1.876849433991736E+01,  8.018953273187961E-01,
2451624.500000000, A.D. 2000-Mar-21 00:00:00.0000,  1.495838339023099E+08,  1.603084245665311E+08, -3.188705959981382E+05, -1.679158260497394E+01,  1.859478028509355E+01,  8.022797798942136E-01,
2451625.500000000, A.D. 2000-Mar-22 00:00:00.0000,  1.481260409897610E+08,  1.619074619999766E+08, -2.495397616453543E+05, -1.695329148632599E+01,  1.841975934996608E+01,  8.025879499433426E-01,
2451626.500000000, A.D. 2000-Mar-23 00:00:00.0000,  1.466543626356434E+08,  1.634913220729266E+08, -1.801855830605254E+05, -1.711300366391172E+01,  1.824345673687263E+01,  8.028201985752768E-01,
2451627.500000000, A.D. 2000-Mar-24 00:00:00.0000,  1.451689716527874E+08,  1.650598951345233E+08, -1.108146049616188E+05, -1.727071234357654E+01,  1.806589758012071E+01,  8.029768903490115E-01,
2451628.500000000, A.D. 2000-Mar-25 00:00:00.0000,  1.436700414270965E+08,  1.666130737043720E+08, -4.143334072937816E+04, -1.742641105666528E+01,  1.788710695713951E+01,  8.030583868472725E-01,
2451629.500000000, A.D. 2000-Mar-26 00:00:00.0000,  1.421577458877166E+08,  1.681507524667391E+08,  2.795172823984921E+04, -1.758009366404818E+01,  1.770710988992446E+01,  8.030650505606252E-01,
2451630.500000000, A.D. 2000-Mar-27 00:00:00.0000,  1.406322594775611E+08,  1.696728282645228E+08,  9.733415316707641E+04, -1.773175437218778E+01,  1.752593133454502E+01,  8.029972545597053E-01,
2451631.500000000, A.D. 2000-Mar-28 00:00:00.0000,  1.390937571242962E+08,  1.711792000927785E+08,  1.667075184461102E+05, -1.788138774009669E+01,  1.734359617201752E+01,  8.028553878299460E-01,
2451632.500000000, A.D. 2000-Mar-29 00:00:00.0000,  1.375424142116852E+08,  1.726697690916513E+08,  2.360654421673864E+05, -1.802898867080177E+01,  1.716012920090920E+01,  8.026398527959557E-01,
2451633.500000000, A.D. 2000-Mar-30 00:00:00.0000,  1.359784065511604E+08,  1.741444385388345E+08,  3.054015766867474E+05, -1.817455239475527E+01,  1.697555512268541E+01,  8.023510583075595E-01,
2451634.500000000, A.D. 2000-Mar-31 00:00:00.0000,  1.344019103536987E+08,  1.756031138417745E+08,  3.747096092148125E+05, -1.831807445396086E+01,  1.678989852726847E+01,  8.019894130177985E-01,
